Case;Maschinenstatus;Verzögerung;vorher Maschinenpause;Vorverarbeitung
0;Schlecht;Ja;Nein;Ja
1;Gut;Ja;Ja;nein
2;Gut;Nein;Nein;Ja
3;Gut;Nein;Nein;nein
4;Schlecht;Ja;Nein;Ja
5;Gut;Nein;Nein;nein
6;Gut;Ja;Nein;nein
7;Schlecht;Ja;Nein;Ja
8;Schlecht;Ja;Ja;Ja
9;Schlecht;Ja;Nein;Ja
10;Gut;Ja;Nein;nein
11;Gut;Ja;Nein;nein
12;Gut;Nein;Nein;nein
13;Gut;Ja;Nein;nein
14;Gut;Nein;Ja;nein
15;Gut;Nein;Nein;nein
16;Gut;Nein;Ja;nein
17;Gut;Nein;Nein;nein
18;Schlecht;Ja;Nein;Ja
19;Gut;Ja;Nein;nein
20;Gut;Ja;Ja;nein
21;Gut;Nein;Nein;nein
22;Gut;Nein;Ja;nein
23;Gut;Ja;Ja;nein
24;Gut;Nein;Nein;nein
25;Gut;Nein;Nein;nein
26;Gut;Nein;Nein;nein
27;Schlecht;Nein;Nein;Ja
28;Schlecht;Ja;Nein;Ja
29;Gut;Nein;Nein;nein
30;Gut;Ja;Ja;nein
31;Gut;Ja;Nein;nein
32;Gut;Nein;Nein;nein
33;Gut;Nein;Ja;nein
34;Schlecht;Ja;Nein;nein
35;Gut;Nein;Nein;nein
36;Gut;Nein;Nein;nein
37;Schlecht;Ja;Ja;Ja
38;Schlecht;Ja;Nein;Ja
39;Schlecht;Ja;Nein;Ja
40;Gut;Nein;Nein;nein
41;Schlecht;Nein;Nein;Ja
42;Schlecht;Nein;Nein;nein
43;Gut;Nein;Nein;nein
44;Gut;Nein;Nein;nein
45;Schlecht;Ja;Nein;Ja
46;Schlecht;Ja;Nein;Ja
47;Gut;Nein;Ja;nein
48;Gut;Ja;Ja;nein
49;Schlecht;Nein;Nein;Ja
50;Gut;Ja;Nein;nein
51;Gut;Nein;Ja;nein
52;Schlecht;Nein;Nein;Ja
53;Gut;Ja;Ja;nein
54;Gut;Nein;Ja;nein
55;Gut;Nein;Nein;nein
56;Gut;Nein;Nein;nein
57;Gut;Ja;Nein;nein
58;Schlecht;Ja;Ja;nein
59;Gut;Nein;Nein;nein
60;Gut;Nein;Nein;nein
61;Schlecht;Nein;Nein;Ja
62;Gut;Ja;Nein;nein
63;Gut;Ja;Nein;nein
64;Gut;Nein;Nein;nein
65;Gut;Ja;Nein;nein
66;Gut;Ja;Nein;nein
67;Gut;Nein;Nein;Ja
68;Gut;Nein;Nein;Ja
69;Gut;Ja;Nein;nein
70;Schlecht;Nein;Nein;Ja
71;Gut;Nein;Nein;nein
72;Gut;Nein;Ja;nein
73;Gut;Ja;Nein;nein
74;Gut;Nein;Nein;nein
75;Gut;Nein;Nein;nein
76;Gut;Nein;Nein;nein
77;Schlecht;Ja;Nein;Ja
